epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.829,1.58219,3.55203,1.77463,0.19412,0.08937,0.04359,0.02867,1.93498,6.6045,2.4573,0.00022,0.00022,0.07822
2,36.5974,1.44939,2.29701,1.63871,0.14983,0.25396,0.13675,0.09563,1.61127,11.2105,2.08506,0.000447772,0.000447772,0.0554478
3,43.3658,1.4625,2.14319,1.6452,0.34235,0.16601,0.1195,0.07824,1.67097,7.57843,2.39696,0.000673268,0.000673268,0.0326733
4,50.0114,1.38069,1.99337,1.59873,0.13672,0.23462,0.11855,0.0622,1.81083,7.47633,2.5127,0.000896486,0.000896486,0.00989649
5,56.6996,1.42649,1.96462,1.60752,0.2146,0.29947,0.17386,0.08686,1.7032,5.36888,2.25504,0.0009802,0.0009802,0.0009802
6,63.4744,1.39394,1.97157,1.60896,0.4242,0.07457,0.06968,0.04116,1.99066,7.53731,2.31357,0.00097525,0.00097525,0.00097525
7,70.1655,1.37812,2.00234,1.60521,0.62521,0.14816,0.18635,0.10388,1.55864,3.65115,2.0328,0.0009703,0.0009703,0.0009703
8,77.0087,1.28431,1.7849,1.5197,0.25828,0.29529,0.19554,0.12616,1.46788,2.94728,1.93204,0.00096535,0.00096535,0.00096535
9,83.8484,1.25782,1.80861,1.49529,0.31255,0.31055,0.21491,0.13138,1.44946,3.40731,1.83678,0.0009604,0.0009604,0.0009604
10,90.7558,1.30433,1.72091,1.54634,0.33156,0.22453,0.21101,0.15198,1.37649,5.52136,1.76456,0.00095545,0.00095545,0.00095545
11,97.7118,1.24644,1.64671,1.47028,0.40098,0.45492,0.32238,0.19461,1.37767,3.01053,1.73592,0.0009505,0.0009505,0.0009505
12,104.742,1.25563,1.6485,1.47435,0.4837,0.391,0.33329,0.23142,1.25441,2.22571,1.6294,0.00094555,0.00094555,0.00094555
13,111.827,1.26758,1.66958,1.48183,0.55959,0.29809,0.29017,0.18897,1.34845,2.01054,1.75163,0.0009406,0.0009406,0.0009406
14,119.009,1.24199,1.66001,1.45943,0.44786,0.36925,0.30414,0.22222,1.25131,2.27979,1.58925,0.00093565,0.00093565,0.00093565
15,126.242,1.20838,1.63748,1.44603,0.57197,0.30127,0.35443,0.20631,1.30851,1.94305,1.61449,0.0009307,0.0009307,0.0009307
16,133.542,1.18408,1.49477,1.42427,0.57911,0.37691,0.43332,0.29817,1.27713,1.81425,1.65118,0.00092575,0.00092575,0.00092575
17,141.074,1.24169,1.59875,1.47315,0.81409,0.30311,0.38521,0.2707,1.21595,1.63759,1.62744,0.0009208,0.0009208,0.0009208
18,148.552,1.22381,1.53917,1.4413,0.52111,0.3533,0.31411,0.2191,1.22766,1.63441,1.55055,0.00091585,0.00091585,0.00091585
19,155.92,1.1324,1.42109,1.38767,0.54036,0.45798,0.36662,0.25869,1.25991,1.61629,1.57837,0.0009109,0.0009109,0.0009109
20,163.156,1.13195,1.41884,1.40201,0.477,0.47954,0.40318,0.27617,1.24382,1.59461,1.63467,0.00090595,0.00090595,0.00090595
21,170.326,1.12134,1.37184,1.38946,0.53447,0.49566,0.4004,0.26439,1.30608,1.5711,1.60943,0.000901,0.000901,0.000901
22,177.468,1.15744,1.53677,1.45737,0.52142,0.40773,0.40462,0.28571,1.26515,1.57593,1.59445,0.00089605,0.00089605,0.00089605
23,184.602,1.14951,1.45056,1.43807,0.52486,0.34509,0.33041,0.23352,1.24847,1.80811,1.5735,0.0008911,0.0008911,0.0008911
24,191.788,1.11076,1.40828,1.38892,0.60269,0.46664,0.39799,0.269,1.25902,1.87018,1.56764,0.00088615,0.00088615,0.00088615
25,198.942,1.08382,1.28238,1.36179,0.63328,0.47695,0.4646,0.32087,1.27868,1.68066,1.59937,0.0008812,0.0008812,0.0008812
26,206.242,1.06097,1.28633,1.34372,0.65895,0.46066,0.49021,0.32504,1.24081,1.43681,1.54464,0.00087625,0.00087625,0.00087625
27,213.566,1.07575,1.25827,1.34152,0.48663,0.40282,0.41792,0.29531,1.20583,1.52558,1.55945,0.0008713,0.0008713,0.0008713
28,220.834,1.07288,1.27456,1.34336,0.57168,0.37571,0.35553,0.25595,1.18673,1.47709,1.49536,0.00086635,0.00086635,0.00086635
29,228.138,1.18004,1.33939,1.43922,0.44129,0.29931,0.32706,0.21295,1.23405,1.5229,1.57017,0.0008614,0.0008614,0.0008614
30,235.454,1.10015,1.29746,1.38799,0.57446,0.40183,0.42359,0.29437,1.11425,1.31651,1.47219,0.00085645,0.00085645,0.00085645
31,242.711,1.04965,1.22523,1.33476,0.71928,0.42518,0.44654,0.30105,1.14394,1.29353,1.50712,0.0008515,0.0008515,0.0008515
32,249.956,1.05853,1.25753,1.34697,0.50962,0.39466,0.39379,0.28777,1.22436,1.47726,1.55209,0.00084655,0.00084655,0.00084655
33,257.14,1.01908,1.20191,1.29541,0.76898,0.48537,0.51541,0.3641,1.1501,1.27828,1.49057,0.0008416,0.0008416,0.0008416
34,264.449,1.03525,1.20006,1.31997,0.56538,0.4755,0.42949,0.30334,1.1246,1.29691,1.48519,0.00083665,0.00083665,0.00083665
35,271.662,0.99053,1.19581,1.30346,0.61921,0.40655,0.43001,0.31017,1.12258,1.37845,1.47008,0.0008317,0.0008317,0.0008317
36,278.883,1.04265,1.23151,1.31374,0.53275,0.48912,0.43143,0.29679,1.17755,1.3327,1.5299,0.00082675,0.00082675,0.00082675
37,286.074,1.04805,1.23051,1.32301,0.74629,0.50966,0.46376,0.30259,1.15339,1.3448,1.50439,0.0008218,0.0008218,0.0008218
38,293.293,1.00185,1.15043,1.30947,0.58795,0.54294,0.46447,0.32587,1.13781,1.17199,1.49002,0.00081685,0.00081685,0.00081685
39,300.583,0.99919,1.16567,1.30533,0.74038,0.4637,0.49866,0.36813,1.15755,1.2225,1.47336,0.0008119,0.0008119,0.0008119
40,307.954,1.05499,1.23685,1.31689,0.51265,0.44287,0.40073,0.28048,1.09058,1.24891,1.42288,0.00080695,0.00080695,0.00080695
41,315.163,1.00345,1.14373,1.30941,0.59235,0.50025,0.42771,0.31246,1.07342,1.31874,1.39994,0.000802,0.000802,0.000802
42,322.397,0.984,1.14862,1.28342,0.76951,0.40324,0.47728,0.35917,1.12958,1.35401,1.47439,0.00079705,0.00079705,0.00079705
43,329.626,0.9454,1.18949,1.2462,0.6854,0.4296,0.47767,0.35407,1.06768,1.19896,1.43035,0.0007921,0.0007921,0.0007921
44,336.883,0.95357,1.07409,1.26502,0.58923,0.56526,0.52631,0.39768,1.14773,1.27238,1.53554,0.00078715,0.00078715,0.00078715
45,344.226,0.96906,1.05404,1.26946,0.77958,0.48909,0.56038,0.41718,1.11885,1.10233,1.49076,0.0007822,0.0007822,0.0007822
46,351.57,1.03263,1.145,1.32928,0.61882,0.53184,0.51461,0.37851,1.10173,1.24141,1.4556,0.00077725,0.00077725,0.00077725
47,358.838,0.99556,1.17278,1.27694,0.55301,0.55272,0.51597,0.38681,1.10612,1.19697,1.45306,0.0007723,0.0007723,0.0007723
48,366.074,0.9955,1.10738,1.29151,0.82,0.47533,0.57001,0.40916,1.09794,1.17216,1.44298,0.00076735,0.00076735,0.00076735
49,373.314,0.925,1.02439,1.2473,0.8192,0.50965,0.55487,0.41709,1.10026,1.21396,1.45089,0.0007624,0.0007624,0.0007624
50,380.58,0.91841,1.01423,1.22781,0.80488,0.52419,0.55191,0.4066,1.16641,1.16206,1.54716,0.00075745,0.00075745,0.00075745
51,387.816,0.87406,0.95269,1.20069,0.69159,0.54423,0.5399,0.39648,1.15968,1.13911,1.52885,0.0007525,0.0007525,0.0007525
52,395.064,0.89953,0.94061,1.20845,0.69997,0.51347,0.51408,0.39616,1.0664,1.04696,1.47822,0.00074755,0.00074755,0.00074755
53,402.274,0.87687,0.91978,1.22158,0.68327,0.50059,0.52365,0.3764,1.12297,1.13829,1.51937,0.0007426,0.0007426,0.0007426
54,409.484,0.90669,0.98428,1.22304,0.68139,0.50093,0.51277,0.39242,1.06043,1.09589,1.40845,0.00073765,0.00073765,0.00073765
55,416.719,0.89384,0.9625,1.22554,0.69489,0.54911,0.55859,0.43702,1.12308,1.0559,1.46511,0.0007327,0.0007327,0.0007327
56,424.055,0.91222,0.91078,1.20471,0.55542,0.58241,0.56582,0.45089,1.08515,1.05414,1.42543,0.00072775,0.00072775,0.00072775
57,431.351,0.88699,0.96115,1.20713,0.74296,0.52368,0.58975,0.46121,1.06375,1.03022,1.42098,0.0007228,0.0007228,0.0007228
58,438.703,0.87811,0.95238,1.20509,0.74684,0.48354,0.52284,0.4168,1.00027,1.09271,1.36451,0.00071785,0.00071785,0.00071785
59,445.982,0.86368,0.92633,1.18517,0.72088,0.48109,0.55881,0.42435,1.11272,1.09907,1.46831,0.0007129,0.0007129,0.0007129
60,453.274,0.88585,0.93273,1.21968,0.69297,0.54373,0.56101,0.41103,1.11373,1.063,1.48357,0.00070795,0.00070795,0.00070795
61,460.516,0.83953,0.87025,1.15498,0.64088,0.47156,0.47994,0.3265,1.11357,1.11085,1.45906,0.000703,0.000703,0.000703
62,467.789,0.85185,0.91081,1.1734,0.77135,0.47395,0.54505,0.39438,1.0881,1.12637,1.43501,0.00069805,0.00069805,0.00069805
63,475.07,0.81225,0.84654,1.1483,0.68392,0.5114,0.51302,0.38063,1.12115,1.08058,1.47712,0.0006931,0.0006931,0.0006931
64,482.351,0.83163,0.85848,1.1647,0.80459,0.52402,0.59148,0.4359,1.08808,0.97982,1.46234,0.00068815,0.00068815,0.00068815
65,489.612,0.82284,0.85033,1.15818,0.83063,0.44478,0.54239,0.42475,1.09287,1.04892,1.46516,0.0006832,0.0006832,0.0006832
66,496.87,0.84255,0.87862,1.17324,0.75575,0.57669,0.55006,0.41857,1.04443,0.95064,1.44691,0.00067825,0.00067825,0.00067825
67,504.168,0.80787,0.84611,1.14724,0.54482,0.53241,0.50281,0.3621,1.10706,0.91588,1.52929,0.0006733,0.0006733,0.0006733
68,511.422,0.83269,0.8801,1.17755,0.82886,0.49304,0.59135,0.44061,1.07711,0.9517,1.49207,0.00066835,0.00066835,0.00066835
69,518.716,0.8194,0.84113,1.15832,0.77261,0.54462,0.60055,0.46763,1.07045,1.01199,1.45264,0.0006634,0.0006634,0.0006634
70,526.078,0.803,0.85646,1.15146,0.80734,0.5071,0.59943,0.44837,1.01919,1.05451,1.38627,0.00065845,0.00065845,0.00065845
71,533.354,0.82654,0.83842,1.16377,0.79847,0.49293,0.56629,0.4413,0.99885,1.11245,1.39118,0.0006535,0.0006535,0.0006535
72,540.635,0.79701,0.7811,1.1306,0.83749,0.49176,0.56072,0.42984,1.05137,1.1641,1.43995,0.00064855,0.00064855,0.00064855
73,547.893,0.77351,0.76742,1.12189,0.84181,0.49516,0.54898,0.41445,1.04,1.18692,1.42901,0.0006436,0.0006436,0.0006436
74,555.171,0.7794,0.76105,1.12791,0.66782,0.52063,0.53309,0.40418,1.03558,1.08032,1.43871,0.00063865,0.00063865,0.00063865
75,562.434,0.75552,0.78433,1.11608,0.64394,0.54426,0.52574,0.4205,1.10659,1.0942,1.53212,0.0006337,0.0006337,0.0006337
76,569.756,0.77824,0.76848,1.13125,0.68067,0.52171,0.5549,0.4258,1.0184,1.07403,1.4456,0.00062875,0.00062875,0.00062875
77,577.033,0.79575,0.83655,1.15175,0.7562,0.52171,0.49034,0.3674,1.05787,1.07388,1.44972,0.0006238,0.0006238,0.0006238
78,584.304,0.7627,0.75896,1.11974,0.58192,0.58602,0.51718,0.40229,1.00101,1.06258,1.41504,0.00061885,0.00061885,0.00061885
79,591.582,0.7711,0.73468,1.10414,0.79509,0.43671,0.53516,0.38351,1.0225,1.07079,1.38534,0.0006139,0.0006139,0.0006139
80,598.844,0.78153,0.7366,1.11002,0.65588,0.58357,0.56639,0.42731,1.05826,0.95678,1.44682,0.00060895,0.00060895,0.00060895
81,606.077,0.7909,0.85647,1.14387,0.67351,0.57139,0.54132,0.42628,0.98491,0.98009,1.35734,0.000604,0.000604,0.000604
82,613.324,0.72387,0.69743,1.10235,0.65592,0.60982,0.58708,0.41325,0.99637,0.91906,1.36409,0.00059905,0.00059905,0.00059905
83,620.584,0.75169,0.72464,1.11837,0.65258,0.54588,0.53232,0.40442,1.04235,0.97167,1.42019,0.0005941,0.0005941,0.0005941
84,627.862,0.78874,0.81783,1.1429,0.61049,0.52162,0.53296,0.40443,0.98957,1.01195,1.38092,0.00058915,0.00058915,0.00058915
85,635.074,0.72182,0.71698,1.09968,0.73086,0.41825,0.46809,0.37138,0.95371,1.02355,1.36471,0.0005842,0.0005842,0.0005842
86,642.322,0.70355,0.69964,1.07994,0.86989,0.53671,0.61361,0.45859,0.98857,0.85708,1.41033,0.00057925,0.00057925,0.00057925
87,649.626,0.73171,0.69772,1.08636,0.70728,0.58407,0.54792,0.44249,0.99355,0.91896,1.43505,0.0005743,0.0005743,0.0005743
88,656.917,0.73834,0.69738,1.09014,0.62736,0.58606,0.49339,0.39132,1.0373,0.99322,1.43707,0.00056935,0.00056935,0.00056935
89,664.164,0.70309,0.69991,1.07207,0.65126,0.60454,0.52892,0.38632,0.9708,0.96427,1.34894,0.0005644,0.0005644,0.0005644
90,671.44,0.72103,0.66935,1.0878,0.6505,0.58922,0.54768,0.38961,1.03119,0.98213,1.42902,0.00055945,0.00055945,0.00055945
91,678.716,0.71355,0.66707,1.07146,0.67319,0.58025,0.56001,0.4413,0.97268,0.91766,1.40435,0.0005545,0.0005545,0.0005545
92,685.978,0.71027,0.70775,1.07206,0.7733,0.57728,0.58515,0.44035,1.02616,0.82716,1.431,0.00054955,0.00054955,0.00054955
93,693.237,0.70693,0.70527,1.08426,0.73473,0.60604,0.59913,0.45098,0.97504,0.7655,1.38534,0.0005446,0.0005446,0.0005446
94,700.482,0.66569,0.65163,1.07508,0.68287,0.56766,0.57291,0.44828,0.94444,0.84942,1.35111,0.00053965,0.00053965,0.00053965
95,707.754,0.71426,0.67846,1.099,0.69068,0.51284,0.52747,0.40616,1.01035,0.92888,1.37623,0.0005347,0.0005347,0.0005347
